序号,位号,名称/规格,封装/类型,数量,备注
1,MH1 MH2 MH3 MH4,树莓派4B对齐安装孔 3.2mm孔径/6mm焊盘,通孔安装孔,4,适配树莓派4B四个角安装孔位
2,H1,"BluePill排母座 A排, 1×20, 2.54mm间距",直插排母/1x20P,1,连接STM32F103C8T6 BluePill开发板 A排引脚
3,H2,"BluePill排母座 B排, 1×20, 2.54mm间距",直插排母/1x20P,1,连接STM32F103C8T6 BluePill开发板 B排引脚
4,J2,"SG90舵机接口, 3Pin (GND/5V/PWM), 2.54mm间距",直插排针/3P弯针,4,四路舵机接口(前左/前右/后左/后右)
5,J5,5V外部电源输入接口 2Pin (GND/5V),直插接线端子/2P,1,外部5V供电 同时给舵机和MCU供电
6,J7,"UART串口调试接口 3Pin (GND/PA9/PA10), 2.54mm间距",直插排针/3P,1,USB转TTL调试串口
7,B1A B1B,顶面20针面包板排针 1×20 2.54mm间距,直插排针/1x20P,2,顶面面包板扩展接口
8,B2A B2B,底面20针面包板排针 1×20 2.54mm间距,直插排针/1x20P,2,底面面包板扩展接口
